# Golden frame vectors for the Home Finance LAN sync protocol.
#
# GENERATED FILE - do not edit by hand. Run: python tools/gen_frame_vectors.py
#
# This file is the single source of truth for the 32 byte frame header. Both ends are
# pinned to it:
#   - Kotlin: ProtocolConformanceTest reads this file directly.
#   - C++:    frame_vectors_generated.h mirrors it and is checked at compile time.
#
# Columns, pipe separated:
#   name | version | opcode | flags | sessionId | seq | payloadHex | expectedHeaderHex
# Numeric columns are lowercase hex without a 0x prefix, except seq which is decimal.

ping_empty|02|30|0000|0000000000000000|0||48465331023000000000000000000000000000000000000000000000a8d670d4
hello_require_ack|02|01|0008|0123456789abcdef|1|7b2270726f746f636f6c56657273696f6e223a327d|48465331020100080123456789abcdef000000010000001511610608c4577e23
hello_ack|02|02|0000|0123456789abcdef|2|7b226163636570746564223a747275657d|48465331020200000123456789abcdef00000002000000116255d61e3e898f8d
chunk_last_compressed|02|12|0003|ffffffffffffffff|4294967295|000102030405060708090a0b0c0d0e0f101112131415161718191a1b1c1d1e1f202122232425262728292a2b2c2d2e2f303132333435363738393a3b3c3d3e3f404142434445464748494a4b4c4d4e4f505152535455565758595a5b5c5d5e5f606162636465666768696a6b6c6d6e6f707172737475767778797a7b7c7d7e7f808182838485868788898a8b8c8d8e8f909192939495969798999a9b9c9d9e9fa0a1a2a3a4a5a6a7a8a9aaabacadaeafb0b1b2b3b4b5b6b7b8b9babbbcbdbebfc0c1c2c3c4c5c6c7c8c9cacbcccdcecfd0d1d2d3d4d5d6d7d8d9dadbdcdddedfe0e1e2e3e4e5e6e7e8e9eaebecedeeeff0f1f2f3f4f5f6f7f8f9fafbfcfdfeff|4846533102120003ffffffffffffffffffffffff000001009c44184b0d3bf738
chunk_ack|02|13|0000|00000000ffffffff|2147483647|00000011|484653310213000000000000ffffffff7fffffff00000004aa520fab17789140
manifest|02|10|0008|8000000000000000|2147483648|6d616e69666573742d626f6479|48465331021000088000000000000000800000000000000d933cb1e99ec570ad
commit_resumed|02|20|0004|0000000000000001|65535|00000000000000000000000000000000|484653310220000400000000000000010000ffff0000001042709aeaad549dd2
auth|02|03|0008|00ff00ff00ff00ff|3|0000000000000000000000000000000000000000000000000000000000000000|484653310203000800ff00ff00ff00ff00000003000000208a9136aad07ca7c9
error_crc|02|40|0000|000000000000002a|7|4352435f4d49534d41544348|4846533102400000000000000000002a000000070000000c445aa6ca213df394
bye|02|41|0000|deadbeefcafebabe|12345||4846533102410000deadbeefcafebabe00003039000000000000000051b4c52d
